id,subject,topic,difficulty,question,options,correct_option,explanation,concept,prerequisites
111,Science,Chemistry,Easy,Titration is a method to determine what in acids or bases?,alkalinity|glucose|concentration|maturation,C,Titration is used to determine the concentration of an acid or base. It works by reacting the unknown solution with a solution of known concentration.,Titration,"Acids and Bases, Concentration"
112,Science,Biology,Easy,How many different amino acids make up proteins.,25|20|30|14,B,Proteins are made from 20 different amino acids. The order of amino acids determines the structure and function of a protein.,Amino Acids,"Proteins, Genetic Code"
113,Science,Biology,Medium,What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,lesions|ulcers|hernia|clots,B,Ulcers are sores in the lining of the stomach or duodenum. They are commonly caused by bacterial infection or damage from stomach acid.,Ulcers,"Digestive System, Stomach Acid"
114,Science,Biology,Medium,"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual process|sexual selection|distributive selection|similar selection,B,Sexual selection can lead to alternative male mating behaviors and body forms. These traits evolve when they improve mating success.,Sexual Selection,"Evolution, Reproduction"
115,Science,Biology,Easy,What structure is made from dna and protein molecules coiled together?,atoms|chromosome|bacterium|enzymes,B,A chromosome is made of DNA and protein molecules coiled together. Chromosomes help organize genetic material during cell division.,Chromosomes,"DNA, Proteins"
116,Science,Physics,Medium,What renewable energy source converts energy from the sunlight into electricity?,hydrostatic energy|solar energy|geophysical energy|geothermal energy,B,Solar energy converts sunlight into electricity using solar panels. It is a renewable energy source because sunlight is naturally replenished.,Solar Energy,"Energy Conversion, Renewable Energy"
117,Science,Biology,Medium,"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?",biceps|triceps|humerus|ulnar,D,The radial and ulnar arteries run along the forearm bones with the same names. They branch toward the wrist and help supply blood to the hand.,Arteries,"Circulatory System, Blood Vessels"
118,Science,Biology,Easy,The bones of the skull are connected by what type of joints?,pivoting|immovable|adjustable|semi-mobile,B,The bones of the skull are joined by immovable joints. These joints hold the skull bones firmly together and allow little or no movement.,Immovable Joints,"Skeletal System, Joints"
119,Science,Earth Science,Easy,What is the lowest layer of the atmosphere?,troposphere|lithosphere|ionosphere|chromosphere,A,The troposphere is the lowest layer of Earth’s atmosphere. It contains most of the air we breathe and is where weather occurs.,Troposphere,Atmosphere
120,Science,Biology,Medium,What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,guard cell|bundle sheth cell|cuticle|meristem,D,Meristem is plant tissue made of undifferentiated cells that can keep dividing. It allows plants to grow in length and width.,Meristem,"Plant Tissues, Cell Division"
121,Science,Earth Science,Medium,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,ancestors|excretions|skeletons|blood,B,Phosphate-containing ocean sediments form mainly from ocean organisms and their excretions. These sediments are part of the phosphorus cycle.,Phosphorus Cycle,"Nutrient Cycles, Marine Organisms"
122,Science,Earth Science,Easy,What does erosion do to pieces of broken rock?,moves them|Cancel Them|Smooth them|lead them,A,"Erosion moves pieces of broken rock from one place to another. It is commonly caused by water, wind, ice, or gravity.",Erosion,"Weathering, Rocks"
123,Science,Biology,Easy,The passing of traits from parents to offspring is done through what?,sperm|dna|blood|egg,B,Traits are passed from parents to offspring through DNA. DNA carries genetic information that influences inherited characteristics.,Inheritance,"DNA, Traits"
124,Science,Chemistry,Medium,In a glass of sweet tea the sugar is known as the solute and the water is known as what?,solid|solvent|calcium|pigment,B,"In sweet tea, sugar is the solute and water is the solvent. The solvent is the substance that dissolves the solute.",Solutions,"Solute, Solvent"
125,Science,Earth Science,Easy,"A few earthquakes take place away from plate boundaries, these are called what?",distant earthquakes|outer earthquakes|intraplate earthquakes|deformation earthquakes,C,Earthquakes that occur away from plate boundaries are called intraplate earthquakes. They happen within the interior of a tectonic plate.,Intraplate Earthquakes,"Earthquakes, Plate Tectonics"
126,Science,Chemistry,Easy,Red litmus paper turns what color when placed in a basic solution?,blue|white|pink|orange,A,Red litmus paper turns blue in a basic solution. This color change is used to identify bases.,Litmus Test,Acids and Bases
127,Science,Chemistry,Medium,The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?,excess|overpotential|resistance|overcharge,B,Overpotential is the difference between the theoretical reduction potential and the actual voltage needed. It explains why extra voltage may be required in electrochemical reactions.,Overpotential,"Electrolysis, Reduction Potential"
128,Science,Biology,Medium,"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",amniotic fluid|tiny blood vessels|white blood cells|large arteries,B,The uterus develops a thick lining full of tiny blood vessels. This lining prepares the uterus to receive and nourish a fertilized egg.,Uterine Lining,"Female Reproductive System, Fertilization"
129,Science,Biology,Medium,The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,peripheral tube|cell tube|occular tube|neural tube,D,The neural plate rolls up to form the neural tube. The neural tube later develops into the brain and spinal cord.,Neural Tube,"Embryonic Development, Neural Plate"
130,Science,Biology,Hard,"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",saturated|hydrophobic|catalytic|hydrophylic,B,The hydrophobic nature of membrane lipids makes it difficult for polar molecules and ions to pass through. These substances usually need transport proteins to cross the cell membrane.,Cell Membrane,"Lipids, Diffusion"
131,Science,Biology,Easy,In what way do all vertebrates reproduce?,biologically|sexually|mitosis|asexually,B,All vertebrates reproduce sexually. This means offspring are produced through the fusion of male and female reproductive cells.,Sexual Reproduction,"Vertebrates, Reproduction"
132,Science,Biology,Easy,"First, high temperature denatures proteins and does what to cells?",exposes them|develops them|kills them|finds them,C,High temperature denatures proteins and can kill cells. Denatured proteins lose their shape and can no longer function properly.,Protein Denaturation,"Proteins, Cells"
133,Science,Biology,Medium,What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,organism|cell|proteins|atom,B,A cell is a collection of molecules surrounded by a phospholipid bilayer that can reproduce itself. The phospholipid bilayer forms the basic boundary of the cell.,Cells,"Cell Membrane, Phospholipids"
134,Science,Biology,Medium,"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",hibernation|hypothesis|consciousness|homeostasis,D,"Feedback loops help keep hormone levels within a narrow range. This regulation contributes to homeostasis, the stable internal state of the body.",Homeostasis,"Hormones, Feedback Loops"
135,Science,Biology,Medium,"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",connective tissue|intestine tissue|nucleus tissue|skin tissue,A,"Collagen, elastic, and reticular fibers are found in connective tissue. These fibers provide support, strength, and flexibility to body tissues.",Connective Tissue,"Tissues, Fibers"
136,Science,Biology,Medium,What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,leukemia|lung cancer|emphysema|pneumonia,D,Pneumonia occurs when some alveoli fill with fluid and cannot exchange gases properly. This can cause breathing difficulty and fatigue.,Pneumonia,"Lungs, Gas Exchange"
137,Science,Biology,Medium,What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,complementary speciation|sympatric speciation|invasive speciation|extinction,B,Sympatric speciation occurs when groups of the same species stop mating without physical or geographic separation. Differences in behavior or mating time can cause this isolation.,Sympatric Speciation,"Speciation, Reproductive Isolation"
138,Science,Biology,Easy,What environment do animals with gills live in?,water|air|underground|cold,A,Animals with gills usually live in water. Gills allow them to take dissolved oxygen from the water.,Gills,"Respiration, Aquatic Animals"
139,Science,Chemistry,Easy,What is the boiling and freezing point of water in celcius?,212 degrees c and 0 degrees c|212 degrees c and 32 degrees c|100 degrees c and 0 degrees c|100 degrees c and 32 degrees c,C,Water boils at 100°C and freezes at 0°C under standard conditions. These values are common reference points for temperature changes.,Boiling and Freezing Points,"Water, States of Matter"
140,Science,Biology,Easy,What are living things that obtain glucose by eating self feeders called?,chimeras|producers|viruses|heterotrophs,D,Heterotrophs obtain glucose by eating autotrophs or other organisms. They cannot make their own food like producers do.,Heterotrophs,"Autotrophs, Glucose"
141,Science,Biology,Easy,Virtually every task performed by living organisms requires this?,mineral|energy|metals|solids,B,"Virtually every task performed by living organisms requires energy. Cells use energy for movement, transport, growth, repair, and chemical reactions.",Energy in Living Organisms,"Cells, Metabolism"
142,Science,Biology,Medium,The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,proteins|fats|amino acids|antibodies,D,Antibodies bind to antigens and help the immune system eliminate them. This can occur through phagocytosis or complement-mediated lysis.,Antibodies,"Immune System, Antigens"
143,Science,Biology,Easy,What muscles are used to pump water over the gills?,jaws and pharynx|lungs and pharynx|muscles and pharynx|pharynx and tonsils,A,Fish use the jaws and pharynx to pump water over the gills. This movement helps oxygen pass from water into the blood.,Gill Ventilation,"Gills, Respiration"
144,Science,Chemistry,Easy,Compounds like sodium chloride form structures called what?,microorganisms|ions|hydrocarbons|crystals,D,"Compounds like sodium chloride form crystal structures. In a crystal, ions are arranged in a repeating pattern.",Crystals,"Ionic Compounds, Ions"
145,Science,Biology,Easy,What are made of long chains consisting almost solely of carbon and hydrogen?,nucleic acids|enzymes|proteins|lipids,D,Lipids are made of long chains consisting mainly of carbon and hydrogen. These chains are often called fatty acids.,Lipids,"Biomolecules, Fatty Acids"
146,Science,Physics,Medium,"When a series of measurements is precise but not what, the error is usually systematic?",color|accurate|velocity|length,B,"When measurements are precise but not accurate, the error is usually systematic. Systematic errors often come from faulty instruments or techniques.",Accuracy and Precision,"Measurement, Error"
147,Science,Biology,Medium,Inserting copies of normal genes into a patient with defective genes is known as?,chromosome treatment|cloning|pattern therapy|gene therapy,D,Gene therapy involves inserting normal copies of genes into a patient with defective genes. It is used to treat or potentially cure genetic disorders.,Gene Therapy,"Genes, Genetic Disorders"
148,Science,Biology,Easy,What type of reproduction usually occur during times of environmental stress?,hysterical reproduction|sexual reproduction|asexual reproduction|internal reproduction,B,"Sexual reproduction usually occurs during times of environmental stress. It creates genetic variation, which can help offspring survive changing conditions.",Sexual Reproduction,"Reproduction, Environmental Stress"
149,Science,Physics,Hard,"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",humidity and work|temperature and work|cold and energy|heat and work,D,"The energy of an object can change through heat transfer, work, or a combination of heat and work. These processes explain how energy is converted or transferred.",Energy Transfer,"Heat, Work"
150,Science,Earth Science,Easy,What science includes many fields of science related to our home planet?,zoology|meteorology|earth science|biology,C,"Earth science includes many fields related to our home planet. It studies Earth’s land, water, atmosphere, and natural processes.",Earth Science,"Science Fields, Earth Systems"
